variant,domain,dataset,split,sample_index,true_label,tsne_x,tsne_y
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,0,5,-42.453587,-24.880396
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,1,5,-33.002468,-20.485435
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,2,5,-67.874527,12.131292
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,3,2,-41.571278,25.175297
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,4,5,-15.939517,-48.847229
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,5,5,-3.583334,44.240086
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,6,5,-13.282498,-49.596779
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,7,6,-55.654690,-9.333173
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,8,5,-38.206879,-32.634220
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,9,5,-57.658646,10.155551
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,10,5,-29.502184,-28.797754
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,11,4,-42.791313,13.569206
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,12,5,-33.993450,-14.364102
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,13,5,-44.252121,19.297886
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,14,4,-52.832592,21.303425
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,15,0,-34.036106,45.700344
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,16,5,-29.472834,16.208534
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,17,5,-61.907101,5.040956
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,18,2,-9.780207,46.536995
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,19,2,-47.622375,33.837273
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,20,5,-18.364872,-29.446491
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,21,6,-37.447067,-3.633042
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,22,5,-38.566162,8.329958
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,23,5,-39.016586,-55.182701
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,24,4,-30.769119,8.678747
medical_encoder_features,Medical,dermamnist_224_strict_noreplace,train,25,1,-17.106787,31.300200
