domain,dataset,sample_index,true_label,tsne_x,tsne_y
medical_dermamnist,dermamnist_224_strict_noreplace,0,0,-5.891912,37.959801
medical_dermamnist,dermamnist_224_strict_noreplace,1,5,14.781122,-20.838190
medical_dermamnist,dermamnist_224_strict_noreplace,2,5,26.219114,-22.827421
medical_dermamnist,dermamnist_224_strict_noreplace,3,5,-31.539660,5.474761
medical_dermamnist,dermamnist_224_strict_noreplace,4,5,27.014538,7.074373
medical_dermamnist,dermamnist_224_strict_noreplace,5,5,12.182834,-11.590396
medical_dermamnist,dermamnist_224_strict_noreplace,6,5,-24.290840,9.709360
medical_dermamnist,dermamnist_224_strict_noreplace,7,5,28.883850,22.666046
medical_dermamnist,dermamnist_224_strict_noreplace,8,5,22.052805,0.567024
medical_dermamnist,dermamnist_224_strict_noreplace,9,5,16.021887,-17.170218
medical_dermamnist,dermamnist_224_strict_noreplace,10,0,8.655257,1.353513
medical_dermamnist,dermamnist_224_strict_noreplace,11,2,-25.985800,17.698116
medical_dermamnist,dermamnist_224_strict_noreplace,12,1,-21.842552,4.992843
medical_dermamnist,dermamnist_224_strict_noreplace,13,5,29.198616,-2.430432
medical_dermamnist,dermamnist_224_strict_noreplace,14,5,4.484921,21.835661
medical_dermamnist,dermamnist_224_strict_noreplace,15,5,25.046362,-23.526718
medical_dermamnist,dermamnist_224_strict_noreplace,16,5,30.678509,20.139429
medical_dermamnist,dermamnist_224_strict_noreplace,17,5,38.641285,18.067646
medical_dermamnist,dermamnist_224_strict_noreplace,18,5,34.714714,-15.179605
medical_dermamnist,dermamnist_224_strict_noreplace,19,5,-34.915699,-22.199379
medical_dermamnist,dermamnist_224_strict_noreplace,20,2,4.283018,22.460131
medical_dermamnist,dermamnist_224_strict_noreplace,21,5,-37.369411,5.293330
medical_dermamnist,dermamnist_224_strict_noreplace,22,5,-31.999216,7.023665
medical_dermamnist,dermamnist_224_strict_noreplace,23,4,-0.319582,36.020847
medical_dermamnist,dermamnist_224_strict_noreplace,24,2,0.129574,24.456459
medical_dermamnist,dermamnist_224_strict_noreplace,25,5,34.521709,-10.983576
medical_dermamnist,dermamnist_224_strict_noreplace,26,5,23.703821,-20.702785
medical_dermamnist,dermamnist_224_strict_noreplace,27,5,-30.896219,-19.658018
medical_dermamnist,dermamnist_224_strict_noreplace,28,5,-6.105263,-16.314659
medical_dermamnist,dermamnist_224_strict_noreplace,29,4,-20.655579,-15.440559
medical_dermamnist,dermamnist_224_strict_noreplace,30,4,-27.332504,-21.040232
medical_dermamnist,dermamnist_224_strict_noreplace,31,5,-6.165615,20.116419
medical_dermamnist,dermamnist_224_strict_noreplace,32,5,19.129847,-23.483690
medical_dermamnist,dermamnist_224_strict_noreplace,33,5,-11.271203,-30.647644
medical_dermamnist,dermamnist_224_strict_noreplace,34,5,-15.047050,-28.881500
medical_dermamnist,dermamnist_224_strict_noreplace,35,2,24.256216,8.184697
medical_dermamnist,dermamnist_224_strict_noreplace,36,2,-3.328392,17.530561
medical_dermamnist,dermamnist_224_strict_noreplace,37,5,14.845211,-3.557359
medical_dermamnist,dermamnist_224_strict_noreplace,38,1,-7.061167,26.994585
medical_dermamnist,dermamnist_224_strict_noreplace,39,2,24.742493,23.409199
medical_dermamnist,dermamnist_224_strict_noreplace,40,2,0.549670,30.508678
medical_dermamnist,dermamnist_224_strict_noreplace,41,2,-5.262452,22.802732
medical_dermamnist,dermamnist_224_strict_noreplace,42,1,-5.416999,27.677113
medical_dermamnist,dermamnist_224_strict_noreplace,43,6,26.181692,23.323250
medical_dermamnist,dermamnist_224_strict_noreplace,44,5,30.582010,0.448647
medical_dermamnist,dermamnist_224_strict_noreplace,45,3,-9.447173,20.269875
medical_dermamnist,dermamnist_224_strict_noreplace,46,5,22.511999,6.067742
medical_dermamnist,dermamnist_224_strict_noreplace,47,5,21.154243,3.601842
medical_dermamnist,dermamnist_224_strict_noreplace,48,5,34.199081,22.068827
medical_dermamnist,dermamnist_224_strict_noreplace,49,5,-21.912575,-19.248079
medical_dermamnist,dermamnist_224_strict_noreplace,50,5,-31.445601,3.796930
medical_dermamnist,dermamnist_224_strict_noreplace,51,0,-13.939413,36.034245
medical_dermamnist,dermamnist_224_strict_noreplace,52,4,-28.452564,20.173452
medical_dermamnist,dermamnist_224_strict_noreplace,53,5,19.529888,-21.499664
medical_dermamnist,dermamnist_224_strict_noreplace,54,5,29.454107,-2.280090
medical_dermamnist,dermamnist_224_strict_noreplace,55,5,-23.724209,-10.381623
medical_dermamnist,dermamnist_224_strict_noreplace,56,5,-33.484013,-21.283237
medical_dermamnist,dermamnist_224_strict_noreplace,57,4,-33.976597,-2.083163
medical_dermamnist,dermamnist_224_strict_noreplace,58,4,-29.309946,-14.018843
medical_dermamnist,dermamnist_224_strict_noreplace,59,4,-20.648966,21.327335
medical_dermamnist,dermamnist_224_strict_noreplace,60,4,-26.192291,17.716429
medical_dermamnist,dermamnist_224_strict_noreplace,61,2,-23.349546,17.626675
medical_dermamnist,dermamnist_224_strict_noreplace,62,5,37.936951,-10.568489
