domain,dataset,sample_index,true_label,tsne_x,tsne_y
medical_dermamnist,dermamnist_224,0,5,-24.360348,33.338070
medical_dermamnist,dermamnist_224,1,3,-35.891281,10.817275
medical_dermamnist,dermamnist_224,2,4,-50.752766,-10.788815
medical_dermamnist,dermamnist_224,3,0,-52.263584,-7.555804
medical_dermamnist,dermamnist_224,4,5,52.060196,-1.019063
medical_dermamnist,dermamnist_224,5,5,-22.077478,28.874996
medical_dermamnist,dermamnist_224,6,5,29.726759,-2.943418
medical_dermamnist,dermamnist_224,7,4,29.277742,-14.081810
medical_dermamnist,dermamnist_224,8,5,-0.775913,3.724772
medical_dermamnist,dermamnist_224,9,2,-4.920595,-29.446096
medical_dermamnist,dermamnist_224,10,1,-8.601589,-16.303461
medical_dermamnist,dermamnist_224,11,5,-4.204483,11.454230
medical_dermamnist,dermamnist_224,12,4,10.899077,-26.966232
medical_dermamnist,dermamnist_224,13,5,-31.745234,-12.168714
medical_dermamnist,dermamnist_224,14,5,22.023813,20.492023
medical_dermamnist,dermamnist_224,15,4,8.922276,-23.234127
medical_dermamnist,dermamnist_224,16,4,-16.911909,4.045679
medical_dermamnist,dermamnist_224,17,2,-37.083874,-12.016265
medical_dermamnist,dermamnist_224,18,5,-36.143394,29.936289
medical_dermamnist,dermamnist_224,19,2,34.927853,-12.505283
medical_dermamnist,dermamnist_224,20,5,-17.057329,18.059147
medical_dermamnist,dermamnist_224,21,5,-20.474010,-20.746759
medical_dermamnist,dermamnist_224,22,5,17.832798,3.221247
medical_dermamnist,dermamnist_224,23,5,-18.103683,7.299487
medical_dermamnist,dermamnist_224,24,5,49.743862,-9.776559
medical_dermamnist,dermamnist_224,25,5,20.584759,-13.328781
medical_dermamnist,dermamnist_224,26,5,-33.658333,30.416819
medical_dermamnist,dermamnist_224,27,5,15.670053,-7.478446
medical_dermamnist,dermamnist_224,28,5,22.429579,-15.036536
medical_dermamnist,dermamnist_224,29,2,0.700163,-17.189463
medical_dermamnist,dermamnist_224,30,5,-19.753748,29.553041
medical_dermamnist,dermamnist_224,31,5,-4.687285,-1.902592
medical_dermamnist,dermamnist_224,32,4,7.276160,-24.846947
medical_dermamnist,dermamnist_224,33,5,-9.326295,-0.346492
medical_dermamnist,dermamnist_224,34,2,-43.593697,-13.939561
medical_dermamnist,dermamnist_224,35,2,-49.698341,-3.481448
medical_dermamnist,dermamnist_224,36,2,-39.297783,-7.716341
medical_dermamnist,dermamnist_224,37,5,-33.684612,18.454714
medical_dermamnist,dermamnist_224,38,2,-59.594612,-10.747633
medical_dermamnist,dermamnist_224,39,1,-4.016419,-17.370226
medical_dermamnist,dermamnist_224,40,5,51.836376,-12.579765
medical_dermamnist,dermamnist_224,41,5,22.096546,17.405993
medical_dermamnist,dermamnist_224,42,5,-33.049706,22.979162
medical_dermamnist,dermamnist_224,43,5,23.669909,12.387607
medical_dermamnist,dermamnist_224,44,5,-23.259577,3.983003
medical_dermamnist,dermamnist_224,45,1,-44.859001,9.474270
medical_dermamnist,dermamnist_224,46,5,-30.554714,30.023842
medical_dermamnist,dermamnist_224,47,5,54.681881,-1.517540
medical_dermamnist,dermamnist_224,48,5,-33.504730,29.307896
medical_dermamnist,dermamnist_224,49,5,37.174259,-12.767335
medical_dermamnist,dermamnist_224,50,5,-32.265591,16.783773
medical_dermamnist,dermamnist_224,51,5,5.408761,-12.266925
medical_dermamnist,dermamnist_224,52,5,0.298135,26.925026
medical_dermamnist,dermamnist_224,53,5,11.310172,-11.725169
medical_dermamnist,dermamnist_224,54,5,-7.608597,-3.432220
medical_dermamnist,dermamnist_224,55,2,37.077839,2.625219
medical_dermamnist,dermamnist_224,56,3,-20.533276,-19.932045
medical_dermamnist,dermamnist_224,57,2,-49.049171,-12.274087
medical_dermamnist,dermamnist_224,58,5,20.487244,15.027125
medical_dermamnist,dermamnist_224,59,5,-3.720073,4.608986
medical_dermamnist,dermamnist_224,60,5,-22.183485,29.901569
medical_dermamnist,dermamnist_224,61,5,56.742306,6.603594
medical_dermamnist,dermamnist_224,62,0,-46.503918,-12.086862
