method,status,accuracy,loss,num_samples,collapse_ratio,effective_predicted_classes,top_predicted_class,prediction_counts,seconds,error
avg,ok,0.668828,1.533229,2005,1.000000,1,5,"[0, 0, 0, 0, 0, 2005, 0]",3.042,
ties,ok,0.392519,1.664472,2005,0.558603,2,5,"[0, 885, 0, 0, 0, 1120, 0]",3.564,
dare_linear,ok,0.668828,2.384965,2005,1.000000,1,5,"[0, 0, 0, 0, 0, 2005, 0]",1.841,
dare_ties,ok,0.032918,nan,2005,1.000000,1,0,"[2005, 0, 0, 0, 0, 0, 0]",3.049,
regmean,ok,0.668828,1.422375,2005,0.999501,2,5,"[0, 0, 0, 0, 1, 2004, 0]",41.248,
fisher,ok,0.668828,1.370620,2005,1.000000,1,5,"[0, 0, 0, 0, 0, 2005, 0]",40.674,
breadcrumbs,ok,0.081297,2.325596,2005,0.508728,7,0,"[1020, 364, 79, 183, 219, 123, 17]",4.954,
model_stock,ok,0.668828,1.570704,2005,1.000000,1,5,"[0, 0, 0, 0, 0, 2005, 0]",1.583,
from,ok,0.668828,1.466945,2005,1.000000,1,5,"[0, 0, 0, 0, 0, 2005, 0]",1.257,
iso_c,ok,0.668828,1.658408,2005,1.000000,1,5,"[0, 0, 0, 0, 0, 2005, 0]",1.401,
free_merge,ok,0.668828,1.533241,2005,1.000000,1,5,"[0, 0, 0, 0, 0, 2005, 0]",1.653,
robustmerge,ok,0.668828,1.701085,2005,1.000000,1,5,"[0, 0, 0, 0, 0, 2005, 0]",1.767,
