method,status,accuracy,loss,num_samples,collapse_ratio,effective_predicted_classes,top_predicted_class,prediction_counts,seconds,error
avg,ok,0.212469,1.464983,2005,0.792020,4,4,"[60, 0, 79, 0, 1588, 278, 0]",2.448,
ties,ok,0.668828,1.667484,2005,1.000000,1,5,"[0, 0, 0, 0, 0, 2005, 0]",2.443,
dare_linear,ok,0.243890,1.492259,2005,0.728678,4,4,"[71, 0, 250, 0, 1461, 223, 0]",2.385,
dare_ties,ok,0.540648,1.344343,2005,0.637905,4,5,"[4, 0, 26, 0, 696, 1279, 0]",2.657,
regmean,ok,0.442893,1.656343,2005,0.530673,7,5,"[47, 87, 373, 7, 426, 1064, 1]",3.373,
fisher,ok,0.637905,1.019473,2005,0.760100,5,5,"[18, 53, 368, 0, 42, 1524, 0]",5.753,
breadcrumbs,ok,0.081297,1.938740,2005,0.892269,6,1,"[3, 1789, 0, 52, 34, 98, 29]",5.963,
model_stock,ok,0.220449,1.495010,2005,0.783541,5,4,"[66, 1, 66, 0, 1571, 301, 0]",1.929,
from,ok,0.137157,1.763921,2005,0.912718,3,4,"[154, 0, 21, 0, 1830, 0, 0]",1.918,
iso_c,ok,0.229925,1.598564,2005,0.714214,7,4,"[148, 37, 210, 1, 1432, 176, 1]",2.563,
free_merge,ok,0.212968,1.464995,2005,0.792020,4,4,"[59, 0, 80, 0, 1588, 278, 0]",2.216,
robustmerge,ok,0.200499,1.678976,2005,0.799002,6,4,"[137, 122, 20, 4, 1602, 120, 0]",1.836,
