task_type,dataset,model,clip_model,num_clients,beta,seed,split,baseline,client_id,accuracy,balanced_accuracy,macro_f1,mean_precision,loss,num_samples,majority_prediction_ratio,effective_predicted_classes,prediction_entropy,per_class_recall,per_class_precision,per_class_f1,class_support,predicted_class_counts,confusion_matrix_json,seconds,updated_at
small,dermamnist_224,resnet,,3,0,42,test,single_client_0,0,0.02144638403990025,0.15924220057579386,0.02649079332944902,0.04159540457647444,5.4050574247973815,2005,0.8952618453865336,1.4908576376848293,0.39935155012729723,0.090909 0.000000 0.000000 0.956522 0.067265 0.000000 0.000000,0.040816 0.000000 0.000000 0.012256 0.238095 0.000000 0.000000,0.056338 0.000000 0.000000 0.024202 0.104895 0.000000 0.000000,66 103 220 23 223 1341 29,147 0 0 1795 63 0 0,"[[6,0,0,59,1,0,0],[9,0,0,93,1,0,0],[9,0,0,204,7,0,0],[1,0,0,22,0,0,0],[24,0,0,184,15,0,0],[95,0,0,1207,39,0,0],[3,0,0,26,0,0,0]]",55.49,2026-07-03T15:04:13
small,dermamnist_224,resnet,,3,0,42,test,single_client_1,1,0.06633416458852869,0.160124826629681,0.030654217686710956,0.017662485095435287,6.646233963431266,2005,0.6364089775561097,1.9260213448903596,0.655456395812114,0.000000 0.970874 0.150000 0.000000 0.000000 0.000000 0.000000,0.000000 0.078370 0.045267 0.000000 0.000000 0.000000 0.000000,0.000000 0.145033 0.069547 0.000000 0.000000 0.000000 0.000000,66 103 220 23 223 1341 29,0 1276 729 0 0 0 0,"[[0,62,4,0,0,0,0],[0,100,3,0,0,0,0],[0,187,33,0,0,0,0],[0,18,5,0,0,0,0],[0,140,83,0,0,0,0],[0,743,598,0,0,0,0],[0,26,3,0,0,0,0]]",55.49,2026-07-03T15:04:13
small,dermamnist_224,resnet,,3,0,42,test,single_client_2,2,0.5770573566084788,0.210007971405796,0.12272474433019466,0.10898327681650873,2.6418622328456203,2005,0.7885286783042394,1.675144698809013,0.5158995488945222,0.000000 0.000000 0.000000 0.000000 0.000000 0.849366 0.620690,0.000000 0.000000 0.000000 0.000000 0.000000 0.720430 0.042453,0.000000 0.000000 0.000000 0.000000 0.000000 0.779603 0.079470,66 103 220 23 223 1341 29,0 0 0 0 0 1581 424,"[[0,0,0,0,0,25,41],[0,0,0,0,0,54,49],[0,0,0,0,0,136,84],[0,0,0,0,0,6,17],[0,0,0,0,0,210,13],[0,0,0,0,0,1139,202],[0,0,0,0,0,11,18]]",55.49,2026-07-03T15:04:13
small,dermamnist_224,resnet,,3,0,42,test,best_single_client,2,0.5770573566084788,0.210007971405796,0.12272474433019466,0.10898327681650873,2.6418622328456203,2005,0.7885286783042394,1.675144698809013,0.5158995488945222,0.000000 0.000000 0.000000 0.000000 0.000000 0.849366 0.620690,0.000000 0.000000 0.000000 0.000000 0.000000 0.720430 0.042453,0.000000 0.000000 0.000000 0.000000 0.000000 0.779603 0.079470,66 103 220 23 223 1341 29,0 0 0 0 0 1581 424,"[[0,0,0,0,0,25,41],[0,0,0,0,0,54,49],[0,0,0,0,0,136,84],[0,0,0,0,0,6,17],[0,0,0,0,0,210,13],[0,0,0,0,0,1139,202],[0,0,0,0,0,11,18]]",55.49,2026-07-03T15:04:13
small,dermamnist_224,resnet,,3,0,42,test,mean_single_client,,0.22161263507896925,0.17645833287042362,0.059956585115451544,0.05608038882947282,4.897717873691422,2005,0.7733998337489609,1.6973412271280672,0.5235691649446444,,,,,,,55.49,2026-07-03T15:04:13
small,dermamnist_224,resnet,,3,0,42,test,prob_ensemble,,0.48877805486284287,0.24750229096633306,0.15774302143282856,0.14366843825185405,1.8523019842970698,2005,0.6184538653366584,3.163074512129604,1.1515445014692471,0.000000 0.446602 0.013636 0.347826 0.000000 0.683072 0.241379,0.000000 0.141104 0.030000 0.036036 0.000000 0.738710 0.059829,0.000000 0.214452 0.018750 0.065306 0.000000 0.709802 0.095890,66 103 220 23 223 1341 29,0 326 100 222 0 1240 117,"[[0,31,2,10,0,12,11],[0,46,0,11,0,28,18],[0,45,3,52,0,97,23],[0,5,2,8,0,3,5],[0,24,6,17,0,176,0],[0,163,87,122,0,916,53],[0,12,0,2,0,8,7]]",55.49,2026-07-03T15:04:13
small,dermamnist_224,resnet,,3,0,42,test,logit_ensemble,,0.45536159600997506,0.21743869070588034,0.1453562250738137,0.20457611239269471,1.543431780046953,2005,0.5680798004987531,3.1457267266050515,1.1460449371013075,0.030303 0.553398 0.013636 0.260870 0.000000 0.629381 0.034483,0.500000 0.106942 0.034884 0.033333 0.000000 0.741001 0.015873,0.057143 0.179245 0.019608 0.059113 0.000000 0.680645 0.021739,66 103 220 23 223 1341 29,4 533 86 180 0 1139 63,"[[2,42,0,8,0,10,4],[0,57,0,10,0,24,12],[1,73,3,39,0,90,14],[0,9,1,6,0,2,5],[0,40,5,14,0,164,0],[0,293,77,100,0,844,27],[1,19,0,3,0,5,1]]",55.49,2026-07-03T15:04:13
small,dermamnist_224,resnet,,3,0,42,test,oracle_any_correct,,0.6648379052369078,0.5293749986112708,0.3185105981317654,0.5029827522649848,,2005,0.5730673316708229,3.614518026025908,1.284958520588097,0.090909 0.970874 0.150000 0.956522 0.067265 0.849366 0.620690,0.187500 0.347222 0.891892 0.083650 0.937500 0.991297 0.081818,0.122449 0.511509 0.256809 0.153846 0.125523 0.914859 0.144578,66 103 220 23 223 1341 29,32 288 37 263 16 1149 220,"[[6,0,0,59,1,0,0],[0,100,3,0,0,0,0],[0,186,33,0,0,1,0],[1,0,0,22,0,0,0],[24,2,1,181,15,0,0],[0,0,0,0,0,1139,202],[1,0,0,1,0,9,18]]",55.49,2026-07-03T15:04:13
small,dermamnist_224,resnet,,3,0,42,test,oracle_min_loss,,0.6648379052369078,0.5293749986112708,0.3185105981317654,0.5029827522649848,0.7862426453397756,2005,0.5730673316708229,3.614518026025908,1.284958520588097,0.090909 0.970874 0.150000 0.956522 0.067265 0.849366 0.620690,0.187500 0.347222 0.891892 0.083650 0.937500 0.991297 0.081818,0.122449 0.511509 0.256809 0.153846 0.125523 0.914859 0.144578,66 103 220 23 223 1341 29,32 288 37 263 16 1149 220,"[[6,0,0,59,1,0,0],[0,100,3,0,0,0,0],[0,186,33,0,0,1,0],[1,0,0,22,0,0,0],[24,2,1,181,15,0,0],[0,0,0,0,0,1139,202],[1,0,0,1,0,9,18]]",55.49,2026-07-03T15:04:13
small,dermamnist_224,resnet,,3,0.01,42,test,single_client_0,0,0.05187032418952618,0.20695893384791653,0.030332020874228476,0.016835986221125303,5.782176577598971,2005,0.5740648379052369,1.978097454838804,0.6821355013694349,0.000000 0.883495 0.000000 0.565217 0.000000 0.000000 0.000000,0.000000 0.106557 0.000000 0.011295 0.000000 0.000000 0.000000,0.000000 0.190178 0.000000 0.022147 0.000000 0.000000 0.000000,66 103 220 23 223 1341 29,0 854 0 1151 0 0 0,"[[0,51,0,15,0,0,0],[0,91,0,12,0,0,0],[0,130,0,90,0,0,0],[0,10,0,13,0,0,0],[0,95,0,128,0,0,0],[0,458,0,883,0,0,0],[0,19,0,10,0,0,0]]",52.71,2026-07-03T15:05:05
small,dermamnist_224,resnet,,3,0.01,42,test,single_client_1,1,0.6812967581047381,0.3110735082500877,0.25200544996306157,0.26020064365734313,2.7254014621649003,2005,0.8748129675810474,1.4999997427164629,0.4054649365857915,0.757576 0.000000 0.000000 0.000000 0.000000 0.971663 0.448276,0.211864 0.000000 0.000000 0.000000 0.000000 0.742873 0.866667,0.331126 0.000000 0.000000 0.000000 0.000000 0.842003 0.590909,66 103 220 23 223 1341 29,236 0 0 0 0 1754 15,"[[50,0,0,0,0,16,0],[27,0,0,0,0,76,0],[69,0,0,0,0,151,0],[5,0,0,0,0,18,0],[47,0,0,0,0,175,1],[37,0,0,0,0,1303,1],[1,0,0,0,0,15,13]]",52.71,2026-07-03T15:05:05
