dataset,task_type,backbone,method,num_clients,beta,merged_accuracy,best_client_accuracy_proxy,delta_accuracy,best_client_id,best_client_val_acc,source
bloodmnist,small,resnet,avg,3,0,0.301700,0.388775,-0.087075,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,avg,3,0.01,0.306900,0.411868,-0.104968,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,avg,3,0.1,0.394900,0.787489,-0.392589,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,avg,5,0,0.273900,0.351359,-0.077459,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,avg,5,0.01,0.194700,0.410406,-0.215706,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,avg,5,0.1,0.271600,0.682841,-0.411241,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,avg,7,0,0.194400,0.240573,-0.046173,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,avg,7,0.01,0.360100,0.426483,-0.066383,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,avg,7,0.1,0.292000,0.797428,-0.505428,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,ties,3,0,0.212200,0.388775,-0.176575,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,ties,3,0.01,0.279700,0.411868,-0.132168,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,ties,3,0.1,0.288200,0.787489,-0.499289,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,ties,5,0,0.095600,0.351359,-0.255759,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,ties,5,0.01,0.195000,0.410406,-0.215406,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,ties,5,0.1,0.271000,0.682841,-0.411841,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,ties,7,0,0.094100,0.240573,-0.146473,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,ties,7,0.01,0.259300,0.426483,-0.167183,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,ties,7,0.1,0.182700,0.797428,-0.614728,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_linear,3,0,0.273600,0.388775,-0.115175,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_linear,3,0.01,0.337600,0.411868,-0.074268,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_linear,3,0.1,0.238200,0.787489,-0.549289,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_linear,5,0,0.221600,0.351359,-0.129759,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_linear,5,0.01,0.197900,0.410406,-0.212506,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_linear,5,0.1,0.437300,0.682841,-0.245541,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_linear,7,0,0.175700,0.240573,-0.064873,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_linear,7,0.01,0.351900,0.426483,-0.074583,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_linear,7,0.1,0.190000,0.797428,-0.607428,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_ties,3,0,0.367400,0.388775,-0.021375,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_ties,3,0.01,0.331500,0.411868,-0.080368,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_ties,3,0.1,0.259300,0.787489,-0.528189,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_ties,5,0,0.091200,0.351359,-0.260159,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_ties,5,0.01,0.291700,0.410406,-0.118706,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_ties,5,0.1,0.197600,0.682841,-0.485241,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_ties,7,0,0.208700,0.240573,-0.031873,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_ties,7,0.01,0.235300,0.426483,-0.191183,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,dare_ties,7,0.1,0.090000,0.797428,-0.707428,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,regmean,3,0,0.382600,0.388775,-0.006175,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,regmean,3,0.01,0.309600,0.411868,-0.102268,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,regmean,3,0.1,0.345800,0.787489,-0.441689,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,regmean,5,0,0.222400,0.351359,-0.128959,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,regmean,5,0.01,0.209000,0.410406,-0.201406,4,0.410047,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,regmean,5,0.1,0.279200,0.682841,-0.403641,0,0.683411,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,regmean,7,0,0.273900,0.240573,0.033327,0,0.240654,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,regmean,7,0.01,0.317700,0.426483,-0.108783,6,0.431075,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,regmean,7,0.1,0.430600,0.797428,-0.366828,5,0.800818,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,3,0,0.367400,0.388775,-0.021375,0,0.390187,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,3,0.01,0.251700,0.411868,-0.160168,2,0.412967,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,3,0.1,0.339700,0.787489,-0.447789,0,0.793224,formal_accuracy_rows + model_hub_meta_test_acc
bloodmnist,small,resnet,fisher,5,0,0.230600,0.351359,-0.120759,0,0.351636,formal_accuracy_rows + model_hub_meta_test_acc
