dataset,model,num_clients,beta,method,merged_accuracy,best_accuracy,delta_accuracy,merged_balanced_accuracy,best_balanced_accuracy,delta_balanced_accuracy,merged_macro_f1,best_macro_f1,delta_macro_f1,merged_collapse,best_collapse
dermamnist_224,resnet,3,0,avg,0.668828,0.577057,0.091771,0.142857,0.210008,-0.067151,0.114508,0.122725,-0.008217,1.0,0.7885286783042394
dermamnist_224,resnet,3,0,ties,0.562594,0.577057,-0.014464,0.236564,0.210008,0.026556,0.194537,0.122725,0.071812,0.7361596009975062,0.7885286783042394
dermamnist_224,resnet,3,0,dare_linear,0.667830,0.577057,0.090773,0.147529,0.210008,-0.062479,0.124882,0.122725,0.002157,0.9850374064837906,0.7885286783042394
dermamnist_224,resnet,3,0,dare_ties,0.284289,0.577057,-0.292768,0.166572,0.210008,-0.043436,0.090669,0.122725,-0.032056,0.7571072319201995,0.7885286783042394
dermamnist_224,resnet,3,0,regmean,0.638903,0.577057,0.061845,0.161392,0.210008,-0.048616,0.148505,0.122725,0.025780,0.9216957605985038,0.7885286783042394
dermamnist_224,resnet,3,0,fisher,0.668828,0.577057,0.091771,0.142857,0.210008,-0.067151,0.114508,0.122725,-0.008217,1.0,0.7885286783042394
dermamnist_224,resnet,3,0,breadcrumbs,0.012968,0.577057,-0.564090,0.112931,0.210008,-0.097077,0.007862,0.122725,-0.114863,0.6922693266832918,0.7885286783042394
dermamnist_224,resnet,3,0,model_stock,0.669825,0.577057,0.092768,0.151736,0.210008,-0.058272,0.128156,0.122725,0.005431,0.9850374064837906,0.7885286783042394
dermamnist_224,resnet,3,0,from,0.668828,0.577057,0.091771,0.142857,0.210008,-0.067151,0.114508,0.122725,-0.008217,1.0,0.7885286783042394
dermamnist_224,resnet,3,0,iso_c,0.636409,0.577057,0.059352,0.213058,0.210008,0.003050,0.158396,0.122725,0.035671,0.9052369077306733,0.7885286783042394
dermamnist_224,resnet,3,0,free_merge,0.668828,0.577057,0.091771,0.142857,0.210008,-0.067151,0.114508,0.122725,-0.008217,1.0,0.7885286783042394
dermamnist_224,resnet,3,0,robustmerge,0.157606,0.577057,-0.419451,0.228146,0.210008,0.018138,0.091666,0.122725,-0.031059,0.4389027431421446,0.7885286783042394
dermamnist_224,resnet,3,0.01,avg,0.546135,0.681297,-0.135162,0.216914,0.311074,-0.094160,0.148649,0.252005,-0.103357,0.7037406483790524,0.8748129675810474
dermamnist_224,resnet,3,0.01,ties,0.571072,0.681297,-0.110224,0.173796,0.311074,-0.137278,0.156401,0.252005,-0.095604,0.7446384039900249,0.8748129675810474
dermamnist_224,resnet,3,0.01,dare_linear,0.566584,0.681297,-0.114713,0.182340,0.311074,-0.128733,0.133167,0.252005,-0.118838,0.7970074812967581,0.8748129675810474
dermamnist_224,resnet,3,0.01,dare_ties,0.657855,0.681297,-0.023441,0.142124,0.311074,-0.168949,0.117370,0.252005,-0.134635,0.9790523690773068,0.8748129675810474
dermamnist_224,resnet,3,0.01,regmean,0.477307,0.681297,-0.203990,0.184548,0.311074,-0.126526,0.148326,0.252005,-0.103680,0.5536159600997507,0.8748129675810474
dermamnist_224,resnet,3,0.01,fisher,0.671820,0.681297,-0.009476,0.199655,0.311074,-0.111418,0.200112,0.252005,-0.051894,0.9850374064837906,0.8748129675810474
dermamnist_224,resnet,3,0.01,breadcrumbs,0.011471,0.681297,-0.669825,0.142857,0.311074,-0.168216,0.003459,0.252005,-0.248547,0.9361596009975063,0.8748129675810474
dermamnist_224,resnet,3,0.01,model_stock,0.531172,0.681297,-0.150125,0.204644,0.311074,-0.106430,0.133013,0.252005,-0.118992,0.7276807980049875,0.8748129675810474
dermamnist_224,resnet,3,0.01,from,0.670324,0.681297,-0.010973,0.149351,0.311074,-0.161723,0.126129,0.252005,-0.125876,0.9950124688279302,0.8748129675810474
dermamnist_224,resnet,3,0.01,iso_c,0.225436,0.681297,-0.455860,0.205188,0.311074,-0.105885,0.091678,0.252005,-0.160327,0.39850374064837907,0.8748129675810474
dermamnist_224,resnet,3,0.01,free_merge,0.546135,0.681297,-0.135162,0.216914,0.311074,-0.094160,0.148649,0.252005,-0.103357,0.7037406483790524,0.8748129675810474
dermamnist_224,resnet,3,0.01,robustmerge,0.049875,0.681297,-0.631421,0.184825,0.311074,-0.126249,0.033467,0.252005,-0.218539,0.5037406483790524,0.8748129675810474
dermamnist_224,resnet,3,0.1,avg,0.672319,0.638404,0.033915,0.161301,0.236472,-0.075171,0.145619,0.183110,-0.037490,0.9740648379052369,0.7845386533665836
dermamnist_224,resnet,3,0.1,ties,0.664838,0.638404,0.026434,0.192216,0.236472,-0.044256,0.164815,0.183110,-0.018295,0.9236907730673317,0.7845386533665836
dermamnist_224,resnet,3,0.1,dare_linear,0.672818,0.638404,0.034414,0.181187,0.236472,-0.055285,0.176647,0.183110,-0.006462,0.9386533665835411,0.7845386533665836
dermamnist_224,resnet,3,0.1,dare_ties,0.670324,0.638404,0.031920,0.149076,0.236472,-0.087396,0.126628,0.183110,-0.056482,0.9940149625935162,0.7845386533665836
dermamnist_224,resnet,3,0.1,regmean,0.689277,0.638404,0.050873,0.221407,0.236472,-0.015065,0.191553,0.183110,0.008443,0.9037406483790523,0.7845386533665836
dermamnist_224,resnet,3,0.1,fisher,0.669825,0.638404,0.031421,0.224279,0.236472,-0.012193,0.180622,0.183110,-0.002487,0.8628428927680798,0.7845386533665836
dermamnist_224,resnet,3,0.1,breadcrumbs,0.124190,0.638404,-0.514214,0.148207,0.236472,-0.088265,0.046798,0.183110,-0.136312,0.7635910224438903,0.7845386533665836
dermamnist_224,resnet,3,0.1,model_stock,0.663840,0.638404,0.025436,0.199041,0.236472,-0.037431,0.176575,0.183110,-0.006534,0.9017456359102244,0.7845386533665836
dermamnist_224,resnet,3,0.1,from,0.674813,0.638404,0.036409,0.165675,0.236472,-0.070797,0.152544,0.183110,-0.030566,0.9775561097256857,0.7845386533665836
dermamnist_224,resnet,3,0.1,iso_c,0.652868,0.638404,0.014464,0.253758,0.236472,0.017286,0.200609,0.183110,0.017500,0.7855361596009975,0.7845386533665836
dermamnist_224,resnet,3,0.1,free_merge,0.672319,0.638404,0.033915,0.161301,0.236472,-0.075171,0.145619,0.183110,-0.037490,0.9740648379052369,0.7845386533665836
dermamnist_224,resnet,3,0.1,robustmerge,0.679302,0.638404,0.040898,0.227998,0.236472,-0.008474,0.218233,0.183110,0.035124,0.8493765586034913,0.7845386533665836
