status,error,seconds,task_type,dataset,model,clip_model,num_clients,beta,seed,split,method,calibration_source,accuracy,balanced_accuracy,macro_f1,mean_precision,loss,num_samples,majority_prediction_ratio,effective_predicted_classes,prediction_entropy,per_class_recall,per_class_precision,per_class_f1,class_support,predicted_class_counts,confusion_matrix_json,updated_at
OK,,15.46,small,dermamnist_224,resnet,,3,0,42,test,avg,no_image_stats,0.6688279301745635,0.14285714285714285,0.1145077277773034,0.0955468471677948,1.38328884819202,2005,1.0,1.0,-0.0,0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000,0.000000 0.000000 0.000000 0.000000 0.000000 0.668828 0.000000,0.000000 0.000000 0.000000 0.000000 0.000000 0.801554 0.000000,66 103 220 23 223 1341 29,0 0 0 0 0 2005 0,"[[0,0,0,0,0,66,0],[0,0,0,0,0,103,0],[0,0,0,0,0,220,0],[0,0,0,0,0,23,0],[0,0,0,0,0,223,0],[0,0,0,0,0,1341,0],[0,0,0,0,0,29,0]]",2026-07-03T15:12:18
OK,,15.46,small,dermamnist_224,resnet,,3,0,42,test,bn_recalibration,no_recalibration,0.6688279301745635,0.14285714285714285,0.1145077277773034,0.0955468471677948,1.38328884819202,2005,1.0,1.0,-0.0,0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000,0.000000 0.000000 0.000000 0.000000 0.000000 0.668828 0.000000,0.000000 0.000000 0.000000 0.000000 0.000000 0.801554 0.000000,66 103 220 23 223 1341 29,0 0 0 0 0 2005 0,"[[0,0,0,0,0,66,0],[0,0,0,0,0,103,0],[0,0,0,0,0,220,0],[0,0,0,0,0,23,0],[0,0,0,0,0,223,0],[0,0,0,0,0,1341,0],[0,0,0,0,0,29,0]]",2026-07-03T15:12:18
OK,,20.54,small,dermamnist_224,resnet,,3,0,42,test,fisher,source_val_512,0.6688279301745635,0.14285714285714285,0.1145419602818706,0.0955945252352438,1.2116347924134976,2005,0.9995012468827931,1.0043000667097226,0.00429084784125312,0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000,0.000000 0.000000 0.000000 0.000000 0.000000 0.669162 0.000000,0.000000 0.000000 0.000000 0.000000 0.000000 0.801794 0.000000,66 103 220 23 223 1341 29,0 0 0 0 1 2004 0,"[[0,0,0,0,0,66,0],[0,0,0,0,0,103,0],[0,0,0,0,0,220,0],[0,0,0,0,0,23,0],[0,0,0,0,0,223,0],[0,0,0,0,0,1341,0],[0,0,0,0,1,28,0]]",2026-07-03T15:12:38
OK,,20.19,small,dermamnist_224,resnet,,3,0,42,test,fisher,public_labeled_val_512,0.6538653366583541,0.15887379876003585,0.142736996023413,0.15403227667035807,1.3099740273340088,2005,0.9576059850374065,1.237944742203242,0.21345253853542284,0.106061 0.000000 0.000000 0.000000 0.040359 0.965697 0.000000,0.194444 0.000000 0.000000 0.000000 0.209302 0.674479 0.000000,0.137255 0.000000 0.000000 0.000000 0.067669 0.794235 0.000000,66 103 220 23 223 1341 29,36 0 6 0 43 1920 0,"[[7,0,0,0,0,59,0],[2,0,0,0,0,101,0],[13,0,0,0,1,206,0],[0,0,0,0,0,23,0],[5,0,0,0,9,209,0],[9,0,6,0,31,1295,0],[0,0,0,0,2,27,0]]",2026-07-03T15:12:59
OK,,20.26,small,dermamnist_224,resnet,,3,0,42,test,fisher,public_labeled_reweighted_512,0.4314214463840399,0.2037972191898216,0.1637061648837928,0.2519797609833708,1.4071666536783043,2005,0.46982543640897756,2.506113833788674,0.918733279938893,0.060606 0.000000 0.731818 0.000000 0.134529 0.499627 0.000000,0.666667 0.000000 0.176149 0.000000 0.209790 0.711253 0.000000,0.111111 0.000000 0.283951 0.000000 0.163934 0.586947 0.000000,66 103 220 23 223 1341 29,6 0 914 0 143 942 0,"[[4,0,24,0,0,38,0],[1,0,24,0,0,78,0],[0,0,161,0,5,54,0],[0,0,12,0,0,11,0],[1,0,119,0,30,73,0],[0,0,565,0,106,670,0],[0,0,9,0,2,18,0]]",2026-07-03T15:13:19
OK,,18.73,small,dermamnist_224,resnet,,3,0,42,test,regmean,source_val_512,0.6513715710723192,0.15975299569852602,0.1524459871021353,0.28364384600958176,1.2262354824608401,2005,0.9286783042394015,1.4178465745707127,0.34913922378688617,0.045455 0.019417 0.072727 0.000000 0.026906 0.953766 0.000000,0.187500 0.666667 0.222222 0.000000 0.222222 0.686896 0.000000,0.073171 0.037736 0.109589 0.000000 0.048000 0.798626 0.000000,66 103 220 23 223 1341 29,16 3 72 25 27 1862 0,"[[3,0,1,1,1,60,0],[1,2,3,1,2,94,0],[4,1,16,12,6,181,0],[0,0,0,0,0,23,0],[3,0,7,3,6,204,0],[5,0,42,4,11,1279,0],[0,0,3,4,1,21,0]]",2026-07-03T15:13:38
OK,,18.41,small,dermamnist_224,resnet,,3,0,42,test,regmean,public_labeled_val_512,0.5840399002493766,0.1924026077263152,0.16792945253377325,0.2842906220676196,1.4050537261582372,2005,0.8354114713216958,1.9035385489545973,0.6437145482532142,0.060606 0.009709 0.059091 0.260870 0.000000 0.853095 0.103448,0.075472 0.333333 0.105691 0.042553 0.000000 0.682985 0.750000,0.067227 0.018868 0.075802 0.073171 0.000000 0.758621 0.181818,66 103 220 23 223 1341 29,53 3 123 141 6 1675 4,"[[4,0,4,5,0,53,0],[1,1,2,1,0,98,0],[6,0,13,36,2,163,0],[0,0,0,6,0,17,0],[11,1,21,6,0,183,1],[31,1,80,82,3,1144,0],[0,0,3,5,1,17,3]]",2026-07-03T15:13:56
OK,,18.54,small,dermamnist_224,resnet,,3,0,42,test,regmean,public_labeled_reweighted_512,0.6034912718204489,0.14734605322951436,0.13198599157893012,0.1717577529522429,1.4138767461229738,2005,0.887281795511222,1.5954933103221924,0.4671829738863761,0.045455 0.009709 0.040909 0.043478 0.000000 0.891872 0.000000,0.111111 0.333333 0.070866 0.014706 0.000000 0.672288 0.000000,0.064516 0.018868 0.051873 0.021978 0.000000 0.766667 0.000000,66 103 220 23 223 1341 29,27 3 127 68 1 1779 0,"[[3,0,2,0,0,61,0],[1,1,1,1,0,99,0],[6,0,9,19,0,186,0],[0,0,0,1,0,22,0],[6,1,18,5,0,193,0],[11,1,95,37,1,1196,0],[0,0,2,5,0,22,0]]",2026-07-03T15:14:15
OK,,15.52,small,dermamnist_224,resnet,,3,0,42,test,bn_recalibration,source_val_512,0.6598503740648379,0.14469566141098328,0.12180293337804989,0.20975810197591738,1.2139728802992518,2005,0.9795511221945137,1.1108591801989174,0.10513375212794611,0.000000 0.000000 0.009091 0.000000 0.022422 0.981357 0.000000,0.000000 0.000000 0.666667 0.000000 0.131579 0.670061 0.000000,0.000000 0.000000 0.017937 0.000000 0.038314 0.796369 0.000000,66 103 220 23 223 1341 29,0 0 3 0 38 1964 0,"[[0,0,0,0,0,66,0],[0,0,0,0,0,103,0],[0,0,2,0,1,217,0],[0,0,0,0,0,23,0],[0,0,0,0,5,218,0],[0,0,1,0,24,1316,0],[0,0,0,0,8,21,0]]",2026-07-03T15:14:30
OK,,15.43,small,dermamnist_224,resnet,,3,0,42,test,bn_recalibration,public_labeled_val_512,0.6673316708229426,0.14360572129856147,0.11688377968264853,0.1432388586697204,1.2615755533042394,2005,0.9955112219451372,1.032107654347543,0.03160297784705078,0.000000 0.000000 0.000000 0.000000 0.008969 0.996271 0.000000,0.000000 0.000000 0.000000 0.000000 0.333333 0.669339 0.000000,0.000000 0.000000 0.000000 0.000000 0.017467 0.800719 0.000000,66 103 220 23 223 1341 29,0 0 3 0 6 1996 0,"[[0,0,1,0,0,65,0],[0,0,0,0,0,103,0],[0,0,0,0,0,220,0],[0,0,0,0,0,23,0],[0,0,0,0,2,221,0],[0,0,2,0,3,1336,0],[0,0,0,0,1,28,0]]",2026-07-03T15:14:46
