dataset,compare,mean_dynamic_delta,std_dynamic_delta,bias_delta,mean_total_delta,min_total_delta,p05_total_delta,pct_total_delta_positive
source_test,5-0,1.364921,0.425337,-0.019955,1.344966,0.359340,0.635670,1.000000
source_test,5-1,1.019588,0.355431,-0.022094,0.997494,0.123354,0.411551,1.000000
source_test,5-2,0.566755,0.203555,0.003848,0.570603,0.133353,0.268922,1.000000
source_test,5-3,1.541164,0.712038,-0.036857,1.504307,0.080625,0.381957,1.000000
source_test,5-4,0.761412,0.171161,-0.034195,0.727216,0.071431,0.463657,1.000000
source_test,5-6,1.867584,0.723917,0.002116,1.869700,0.283340,0.688538,1.000000
public_test,5-0,1.065072,0.402075,-0.019955,1.045118,0.376887,0.491843,1.000000
public_test,5-1,0.718203,0.298015,-0.022094,0.696109,0.153107,0.273395,1.000000
public_test,5-2,0.394615,0.163692,0.003848,0.398464,0.072268,0.186358,1.000000
public_test,5-3,0.903828,0.555518,-0.036857,0.866972,0.028133,0.158060,1.000000
public_test,5-4,0.676379,0.171956,-0.034195,0.642184,0.272741,0.383446,1.000000
public_test,5-6,1.212459,0.562446,0.002116,1.214576,0.314348,0.450816,1.000000
