dataset,class,mean_wf,std_wf,bias,mean_logit,std_logit,min_logit,max_logit
source_test,0,-2.358657,0.708230,-0.011714,-2.370371,0.708230,-4.082302,-0.785601
source_test,1,-2.013324,0.630196,-0.009575,-2.022899,0.630196,-3.428988,-0.528662
source_test,2,-1.560491,0.468140,-0.035517,-1.596008,0.468140,-2.775134,-0.518247
source_test,3,-2.534899,0.998114,0.005188,-2.529711,0.998114,-5.071078,-0.462911
source_test,4,-1.755148,0.382530,0.002527,-1.752621,0.382530,-2.903157,-0.662283
source_test,5,-0.993736,0.299952,-0.031668,-1.025405,0.299953,-1.822449,-0.340199
source_test,6,-2.861320,1.009981,-0.033785,-2.895105,1.009981,-5.553578,-0.687250
public_test,0,-1.865330,0.660628,-0.011714,-1.877044,0.660628,-3.774593,-0.809917
public_test,1,-1.518461,0.552967,-0.009575,-1.528036,0.552967,-3.218345,-0.583501
public_test,2,-1.194873,0.397634,-0.035517,-1.230390,0.397634,-2.505145,-0.573729
public_test,3,-1.704086,0.808837,0.005188,-1.698898,0.808837,-4.159529,-0.464280
public_test,4,-1.476637,0.394268,0.002527,-1.474110,0.394268,-2.649530,-0.700212
public_test,5,-0.800258,0.276640,-0.031668,-0.831926,0.276640,-1.676581,-0.321029
public_test,6,-2.012717,0.817159,-0.033785,-2.046502,0.817159,-4.634272,-0.739382
