body,head,acc,bacc,collapse,eff,top,mean_margin,min_margin,pred_counts
client_0,client_0,0.021446,0.159242,0.895262,3,3,1.875756,0.003183,"[148, 0, 0, 1795, 62, 0, 0]"
client_0,client_1,0.109726,0.142857,0.998504,2,2,0.819355,0.023848,"[0, 3, 2002, 0, 0, 0, 0]"
client_0,client_2,0.668828,0.142857,1.000000,1,5,3.893602,1.319661,"[0, 0, 0, 0, 0, 2005, 0]"
client_0,avg,0.172070,0.164951,0.747631,3,3,0.317887,0.000815,"[0, 0, 0, 1499, 1, 505, 0]"
client_1,client_0,0.111222,0.142857,1.000000,1,4,2.382034,0.178869,"[0, 0, 0, 0, 2005, 0, 0]"
client_1,client_1,0.066334,0.160125,0.634414,2,1,2.473911,0.000640,"[0, 1272, 733, 0, 0, 0, 0]"
client_1,client_2,0.668828,0.142857,1.000000,1,5,6.140006,1.717131,"[0, 0, 0, 0, 0, 2005, 0]"
client_1,avg,0.399002,0.215049,0.437905,3,1,0.234875,0.000246,"[0, 878, 258, 0, 0, 869, 0]"
client_2,client_0,0.111222,0.142857,1.000000,1,4,2.408317,0.585117,"[0, 0, 0, 0, 2005, 0, 0]"
client_2,client_1,0.098254,0.156689,0.865337,2,2,0.840457,0.000311,"[0, 270, 1735, 0, 0, 0, 0]"
client_2,client_2,0.577057,0.210008,0.788529,2,5,5.286525,0.001708,"[0, 0, 0, 0, 0, 1581, 424]"
client_2,avg,0.600499,0.200556,0.835411,2,5,0.590376,0.000491,"[0, 0, 0, 0, 0, 1675, 330]"
avg,client_0,0.110224,0.174999,0.943641,3,4,1.707048,0.000289,"[6, 0, 0, 107, 1892, 0, 0]"
avg,client_1,0.113217,0.152566,0.993516,2,2,1.600211,0.002569,"[0, 13, 1992, 0, 0, 0, 0]"
avg,client_2,0.668828,0.142857,1.000000,1,5,5.478578,0.443738,"[0, 0, 0, 0, 0, 2005, 0]"
avg,avg,0.668828,0.142857,1.000000,1,5,0.539030,0.071431,"[0, 0, 0, 0, 0, 2005, 0]"
