method,backbone,k,acc,macro_f1
TIES,resnet,1,0.173633440514,0.050709769130
TIES,resnet,2,0.071031862029,0.016580240801
TIES,resnet,3,0.073662671733,0.022316515446
TIES,resnet,4,0.166033323590,0.060677930713
TIES,resnet,5,0.099386144402,0.048525914550
TIES,resnet,6,0.117217187957,0.066544376314
TIES,resnet,7,0.093832212803,0.034487850964
TIES,convnext,1,0.071324174218,0.016643928364
TIES,convnext,2,0.071031862029,0.016580240801
TIES,convnext,3,0.090909090909,0.020833333954
TIES,convnext,4,0.137386729027,0.030197892338
TIES,convnext,5,0.137386729027,0.030197892338
TIES,convnext,6,0.137386729027,0.030197892338
TIES,convnext,7,0.137386729027,0.030197892338
TIES,vit_t,1,0.169248757673,0.036196548492
TIES,vit_t,2,0.071324174218,0.017630057409
TIES,vit_t,3,0.090909090909,0.020833333954
TIES,vit_t,4,0.137386729027,0.030197892338
TIES,vit_t,5,0.137386729027,0.030197892338
TIES,vit_t,6,0.137386729027,0.030197892338
TIES,vit_t,7,0.137386729027,0.030197892338
TIES,swin_tiny,1,0.168956445484,0.042387589812
TIES,swin_tiny,2,0.071031862029,0.016630167142
TIES,swin_tiny,3,0.090909090909,0.020833333954
TIES,swin_tiny,4,0.090909090909,0.020833333954
TIES,swin_tiny,5,0.194679918153,0.040738929063
TIES,swin_tiny,6,0.071031862029,0.016580240801
TIES,swin_tiny,7,0.083016661795,0.019163293764
LAMP-Merge,resnet,1,0.210172464192,0.094462990761
LAMP-Merge,resnet,2,0.262204033908,0.166513293982
LAMP-Merge,resnet,3,0.342589885998,0.273010015488
LAMP-Merge,resnet,4,0.464484068986,0.408816963434
LAMP-Merge,resnet,5,0.638117509500,0.566194415092
LAMP-Merge,resnet,6,0.779888921368,0.705073475838
LAMP-Merge,resnet,7,0.800350774627,0.787266016006
LAMP-Merge,convnext,1,0.216895644548,0.087478183210
LAMP-Merge,convnext,2,0.274481145864,0.166301459074
LAMP-Merge,convnext,3,0.345805320082,0.281992584467
LAMP-Merge,convnext,4,0.474130371236,0.427280992270
LAMP-Merge,convnext,5,0.652733118971,0.580619096756
LAMP-Merge,convnext,6,0.810874013446,0.738842725754
LAMP-Merge,convnext,7,0.848289973692,0.832666873932
LAMP-Merge,vit_t,1,0.216603332359,0.084057107568
LAMP-Merge,vit_t,2,0.269804150833,0.163913026452
LAMP-Merge,vit_t,3,0.340836012862,0.251155465841
LAMP-Merge,vit_t,4,0.474422683426,0.402767002583
LAMP-Merge,vit_t,5,0.652440806782,0.568879365921
LAMP-Merge,vit_t,6,0.824904998538,0.737831413746
LAMP-Merge,vit_t,7,0.851505407776,0.829071342945
LAMP-Merge,swin_tiny,1,0.216311020170,0.082490652800
LAMP-Merge,swin_tiny,2,0.267757965507,0.151339679956
LAMP-Merge,swin_tiny,3,0.334112832505,0.240857630968
LAMP-Merge,swin_tiny,4,0.452206957030,0.373777419329
LAMP-Merge,swin_tiny,5,0.615024846536,0.527285218239
LAMP-Merge,swin_tiny,6,0.751242326805,0.674366056919
LAMP-Merge,swin_tiny,7,0.774042677580,0.757349312305
