dataset,backbone,k,acc,macro_f1,amp_enabled
bloodmnist_224,resnet,1,0.210172464192,0.094462990761,false
bloodmnist_224,resnet,2,0.262204033908,0.166513293982,false
bloodmnist_224,resnet,3,0.342589885998,0.273010015488,false
bloodmnist_224,resnet,4,0.464484068986,0.408816963434,false
bloodmnist_224,resnet,5,0.638117509500,0.566194415092,false
bloodmnist_224,resnet,6,0.779888921368,0.705073475838,false
bloodmnist_224,resnet,7,0.800350774627,0.787266016006,false
bloodmnist_224,convnext,1,0.216895644548,0.087478183210,false
bloodmnist_224,convnext,2,0.274481145864,0.166301459074,false
bloodmnist_224,convnext,3,0.345805320082,0.281992584467,false
bloodmnist_224,convnext,4,0.474130371236,0.427280992270,false
bloodmnist_224,convnext,5,0.652733118971,0.580619096756,false
bloodmnist_224,convnext,6,0.810874013446,0.738842725754,false
bloodmnist_224,convnext,7,0.848289973692,0.832666873932,false
bloodmnist_224,vit_t,1,0.216603332359,0.084057107568,false
bloodmnist_224,vit_t,2,0.269804150833,0.163913026452,false
bloodmnist_224,vit_t,3,0.340836012862,0.251155465841,false
bloodmnist_224,vit_t,4,0.474422683426,0.402767002583,false
bloodmnist_224,vit_t,5,0.652440806782,0.568879365921,false
bloodmnist_224,vit_t,6,0.824904998538,0.737831413746,false
bloodmnist_224,vit_t,7,0.851505407776,0.829071342945,false
bloodmnist_224,swin_tiny,1,0.216311020170,0.082490652800,false
bloodmnist_224,swin_tiny,2,0.267757965507,0.151339679956,false
bloodmnist_224,swin_tiny,3,0.334112832505,0.240857630968,false
bloodmnist_224,swin_tiny,4,0.452206957030,0.373777419329,false
bloodmnist_224,swin_tiny,5,0.615024846536,0.527285218239,false
bloodmnist_224,swin_tiny,6,0.751242326805,0.674366056919,false
bloodmnist_224,swin_tiny,7,0.774042677580,0.757349312305,false
dermamnist_224,resnet,1,0.011471321696,0.003240349237,false
dermamnist_224,resnet,2,0.092768079800,0.040877427906,false
dermamnist_224,resnet,3,0.094264339152,0.059825416654,false
dermamnist_224,resnet,4,0.126184538653,0.111147522926,false
dermamnist_224,resnet,5,0.133665835411,0.150072619319,false
dermamnist_224,resnet,6,0.444887780549,0.264018595219,false
dermamnist_224,resnet,7,0.675810473815,0.149712935090,false
dermamnist_224,convnext,1,0.011471321696,0.003240349237,true
dermamnist_224,convnext,2,0.090773067332,0.042068958282,true
dermamnist_224,convnext,3,0.092768079800,0.058742135763,true
dermamnist_224,convnext,4,0.133167082294,0.111826613545,true
dermamnist_224,convnext,5,0.130174563591,0.133617967367,true
dermamnist_224,convnext,6,0.443391521197,0.255278587341,true
dermamnist_224,convnext,7,0.598004987531,0.338829100132,true
dermamnist_224,vit_t,1,0.011471321696,0.003240349237,true
dermamnist_224,vit_t,2,0.100748129676,0.040889594704,true
dermamnist_224,vit_t,3,0.104239401496,0.063346438110,true
dermamnist_224,vit_t,4,0.144139650873,0.119590714574,true
dermamnist_224,vit_t,5,0.152119700748,0.164058417082,true
dermamnist_224,vit_t,6,0.533665835411,0.307802140713,true
dermamnist_224,vit_t,7,0.595012468828,0.368259698153,true
dermamnist_224,swin_tiny,1,0.011471321696,0.003240349237,true
dermamnist_224,swin_tiny,2,0.093266832918,0.040194276720,true
dermamnist_224,swin_tiny,3,0.094763092269,0.055839259177,true
dermamnist_224,swin_tiny,4,0.116708229426,0.098802916706,true
dermamnist_224,swin_tiny,5,0.125187032419,0.137614801526,true
dermamnist_224,swin_tiny,6,0.476807980050,0.265674114227,true
dermamnist_224,swin_tiny,7,0.633416458853,0.282623857260,true
organcmnist_224,resnet,1,0.300024342746,0.086363129318,true
organcmnist_224,resnet,2,0.403359298929,0.201328188181,true
organcmnist_224,resnet,3,0.470545277507,0.299387097359,true
organcmnist_224,resnet,4,0.564629990263,0.451327234507,true
organcmnist_224,resnet,5,0.585443037975,0.507120728493,true
organcmnist_224,resnet,6,0.608325219085,0.552463114262,true
organcmnist_224,resnet,7,0.600535540409,0.531032621861,true
organcmnist_224,convnext,1,0.298928919182,0.082459308207,true
organcmnist_224,convnext,2,0.408106134372,0.209520593286,true
organcmnist_224,convnext,3,0.492697176241,0.319497525692,true
organcmnist_224,convnext,4,0.592015579357,0.474811911583,true
organcmnist_224,convnext,5,0.618427458617,0.542014420033,true
organcmnist_224,convnext,6,0.640457643622,0.588613092899,true
organcmnist_224,convnext,7,0.656280428432,0.634036779404,true
organcmnist_224,vit_t,1,0.287000973710,0.083493188024,true
