dataset,backbone,k,acc,macro_f1,amp_enabled
bloodmnist_224,resnet,7,0.800350774627,0.787266016006,false
bloodmnist_224,convnext,7,0.848289973692,0.832666873932,false
bloodmnist_224,vit_t,7,0.851505407776,0.829071342945,false
bloodmnist_224,swin_tiny,7,0.774042677580,0.757349312305,false
dermamnist_224,resnet,7,0.675810473815,0.149712935090,false
dermamnist_224,convnext,7,0.598004987531,0.338829100132,true
dermamnist_224,vit_t,7,0.595012468828,0.368259698153,true
dermamnist_224,swin_tiny,7,0.633416458853,0.282623857260,true
organcmnist_224,resnet,7,0.600535540409,0.531032621861,true
organcmnist_224,convnext,7,0.656280428432,0.634036779404,true
organcmnist_224,vit_t,7,0.586416747809,0.572639048100,true
organcmnist_224,swin_tiny,7,0.684152872444,0.656998097897,true
organsmnist_224,resnet,7,0.527472527473,0.422974228859,true
organsmnist_224,convnext,7,0.605755069673,0.561336219311,true
organsmnist_224,vit_t,7,0.544579132208,0.522660970688,true
organsmnist_224,swin_tiny,7,0.627733091651,0.584356784821,true
chaoshengmnist_224,resnet,7,0.475292003594,0.453614294529,true
chaoshengmnist_224,convnext,7,0.430368373765,0.409955501556,true
chaoshengmnist_224,vit_t,7,0.462713387242,0.425154000521,true
chaoshengmnist_224,swin_tiny,7,0.483378256963,0.464956760406,true
