说明,本表对应 Blood/ResNet/K=3/beta=0.01 的 output-probability t-SNE；LAMP-Merge 概率由 gamma=0.55、s=18.75、tau=2.5、lambda=4.25 正式 checkpoint 重新推理，三个通用基线保持论文原实验概率向量，并在共享 t-SNE 平面重新拟合。
Dataset,Backbone,K,Beta,Method,Sample index,True label,t-SNE x,t-SNE y,Probability class 0,Probability class 1,Probability class 2,Probability class 3,Probability class 4,Probability class 5,Probability class 6,Probability class 7
Blood,ResNet,3,0.01,LAMP-Merge,0,3,34.076630,18.043221,0.31221774,0.00000151,0.00000000,0.07900969,0.00031662,0.60845435,0.00000006,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,1,0,21.585224,26.859303,0.89482695,0.00011770,0.00000008,0.07838143,0.00031979,0.02635081,0.00000325,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,2,1,-15.689672,-87.900620,0.00000453,0.71399820,0.00032657,0.00051456,0.00029526,0.00003422,0.28482044,0.00000621
Blood,ResNet,3,0.01,LAMP-Merge,3,3,59.984917,13.892409,0.08317620,0.00248784,0.00783251,0.65177035,0.23898576,0.01524455,0.00031376,0.00018906
Blood,ResNet,3,0.01,LAMP-Merge,4,1,-3.829712,-88.250366,0.01925948,0.72324163,0.00119031,0.07052945,0.15645495,0.02066304,0.00865917,0.00000196
Blood,ResNet,3,0.01,LAMP-Merge,5,1,12.238983,-90.362480,0.00004660,0.93976551,0.00003847,0.01167550,0.00085192,0.00254512,0.04507683,0.00000016
Blood,ResNet,3,0.01,LAMP-Merge,6,3,63.462910,13.475229,0.10986150,0.00043218,0.00025745,0.74431109,0.13809925,0.00671808,0.00008099,0.00023939
Blood,ResNet,3,0.01,LAMP-Merge,7,1,-32.035072,-77.221664,0.00000022,0.38189706,0.00002142,0.00094070,0.00000438,0.00040258,0.61673361,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,8,6,-34.056728,-70.405624,0.00034235,0.14881738,0.00018073,0.01476507,0.00198080,0.17129688,0.66261667,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,9,1,8.771373,-92.616707,0.00000743,0.92255276,0.00005560,0.00167103,0.00027180,0.00123663,0.07420470,0.00000002
Blood,ResNet,3,0.01,LAMP-Merge,10,5,43.550156,16.497826,0.03187010,0.00017361,0.00000830,0.09400219,0.00392202,0.86993253,0.00009124,0.00000003
Blood,ResNet,3,0.01,LAMP-Merge,11,6,-35.862156,-74.537605,0.00001528,0.30519432,0.02576953,0.00246034,0.00059844,0.00003122,0.66577214,0.00015870
