说明,本表对应论文 ConvNeXt 主实验表；每个 K 数值对三个 Dirichlet beta 设置取平均，Avg 再对 K=3/5/7 取平均，单位为 ACC 与 Macro-F1 百分比。
Method,Blood K=3 ACC (%),Blood K=5 ACC (%),Blood K=7 ACC (%),Blood Avg ACC (%),Blood Macro-F1 (%),Derma K=3 ACC (%),Derma K=5 ACC (%),Derma K=7 ACC (%),Derma Avg ACC (%),Derma Macro-F1 (%),Organ-C K=3 ACC (%),Organ-C K=5 ACC (%),Organ-C K=7 ACC (%),Organ-C Avg ACC (%),Organ-C Macro-F1 (%),Organ-S K=3 ACC (%),Organ-S K=5 ACC (%),Organ-S K=7 ACC (%),Organ-S Avg ACC (%),Organ-S Macro-F1 (%),Ultrasound K=3 ACC (%),Ultrasound K=5 ACC (%),Ultrasound K=7 ACC (%),Ultrasound Avg ACC (%),Ultrasound Macro-F1 (%)
Weight Averaging,15.65,11.22,13.84,13.57,2.95,29.66,48.30,66.88,48.28,8.58,10.37,12.18,9.44,10.66,2.09,13.08,10.35,14.16,12.53,1.98,15.06,15.06,12.52,14.22,3.09
TIES-Merging,17.15,12.14,15.24,14.84,3.21,29.66,18.00,27.12,24.93,5.48,12.17,7.86,7.16,9.06,2.67,11.23,7.61,7.96,8.93,2.16,15.18,14.56,12.91,14.22,3.09
DARE-Linear,17.56,11.22,13.45,14.07,3.05,27.05,48.30,48.30,41.21,7.41,10.35,6.99,10.85,9.39,1.79,12.82,10.35,7.97,10.38,1.73,15.75,15.75,12.64,14.71,3.19
DARE-TIES,10.96,15.19,14.97,13.71,3.41,9.08,27.98,24.51,20.52,4.91,13.04,13.46,7.70,11.40,3.11,10.97,9.46,7.09,9.17,2.55,14.56,12.97,15.00,14.18,3.09
RegMean,15.65,8.17,18.81,14.21,3.71,26.33,7.78,27.10,20.40,3.99,11.56,10.46,7.18,9.73,2.68,10.09,12.34,10.49,10.97,3.95,15.75,15.39,13.24,14.79,3.21
Fisher,15.65,9.99,11.93,12.52,2.78,48.25,26.38,29.71,34.78,6.39,10.50,8.69,8.60,9.26,2.51,6.68,4.67,12.27,7.87,2.13,16.95,15.75,14.56,15.75,3.39
Breadcrumbs,15.16,13.66,11.63,13.49,2.93,5.24,27.66,46.30,26.40,4.90,10.31,14.44,15.75,13.50,2.38,15.16,15.54,20.77,17.15,2.62,13.84,13.63,13.63,13.70,3.00
Model Stock,17.56,11.44,17.78,15.59,3.35,29.66,48.30,66.88,48.28,8.58,12.76,12.18,13.85,12.93,2.60,13.08,10.35,19.35,14.26,2.21,15.75,12.91,14.79,14.49,3.15
Iso-C,19.47,18.65,14.80,17.64,3.74,29.71,48.30,66.88,48.30,8.59,9.91,6.99,9.45,8.78,1.67,7.89,14.77,8.66,10.44,2.20,15.18,12.91,16.05,14.71,3.21
Free-Merging,15.75,11.90,13.84,13.83,2.99,29.71,48.30,66.88,48.30,8.59,9.06,12.18,13.85,11.69,1.87,13.08,10.35,14.16,12.53,1.98,15.06,12.91,16.95,14.97,3.34
RobustMerge,14.10,14.05,7.52,11.89,2.62,9.08,45.07,48.30,34.15,6.24,13.94,12.18,17.93,14.68,2.32,23.54,9.61,20.77,17.97,2.72,13.00,11.35,13.63,12.66,2.80
FROM,15.65,10.83,16.71,14.39,3.11,29.66,34.08,45.69,36.48,7.39,12.32,12.24,6.50,10.35,2.28,13.24,11.05,8.97,11.09,2.54,15.75,15.78,10.87,14.14,3.08
LAMP-Merge,85.00,85.04,85.11,85.05,83.48,59.67,58.79,59.50,59.32,33.33,65.40,65.31,65.49,65.40,63.17,60.53,60.48,60.62,60.55,56.04,43.01,42.83,42.35,42.73,40.72
