说明,本表对应论文 ResNet 主实验表；每个单元为 ACC/Macro-F1（百分比）。每个 K 数值对三个 Dirichlet beta 设置取平均，Avg 再对 K=3/5/7 取平均。
Method,Blood K=3 ACC / F1 (%),Blood K=5 ACC / F1 (%),Blood K=7 ACC / F1 (%),Blood Avg ACC / F1 (%),Derma K=3 ACC / F1 (%),Derma K=5 ACC / F1 (%),Derma K=7 ACC / F1 (%),Derma Avg ACC / F1 (%),Organ-C K=3 ACC / F1 (%),Organ-C K=5 ACC / F1 (%),Organ-C K=7 ACC / F1 (%),Organ-C Avg ACC / F1 (%),Organ-S K=3 ACC / F1 (%),Organ-S K=5 ACC / F1 (%),Organ-S K=7 ACC / F1 (%),Organ-S Avg ACC / F1 (%),Ultrasound K=3 ACC / F1 (%),Ultrasound K=5 ACC / F1 (%),Ultrasound K=7 ACC / F1 (%),Ultrasound Avg ACC / F1 (%)
Weight Averaging,33.45 / 23.94,24.66 / 15.61,28.21 / 14.88,28.77 / 18.14,62.91 / 13.63,47.00 / 11.83,62.44 / 13.44,57.45 / 12.97,22.61 / 12.19,17.71 / 9.10,13.96 / 6.49,18.10 / 9.26,28.64 / 16.12,17.94 / 9.68,24.75 / 9.13,23.77 / 11.64,24.35 / 12.05,15.81 / 6.89,15.42 / 4.50,18.53 / 7.81
TIES-Merging,26.01 / 15.52,18.72 / 6.45,17.87 / 6.48,20.86 / 9.48,59.95 / 17.19,48.41 / 9.06,64.84 / 12.59,57.73 / 12.95,26.50 / 14.04,16.84 / 10.62,21.18 / 9.84,21.51 / 11.50,19.81 / 10.76,19.15 / 10.56,18.73 / 6.21,19.23 / 9.18,34.77 / 25.99,19.89 / 11.44,18.54 / 7.58,24.40 / 15.00
DARE-Linear,28.31 / 18.65,28.56 / 15.87,23.92 / 10.84,26.93 / 15.12,63.57 / 14.49,48.43 / 11.06,62.88 / 13.03,58.29 / 12.86,20.18 / 8.37,25.88 / 10.20,16.50 / 6.84,20.85 / 8.47,25.45 / 11.52,22.45 / 9.05,25.37 / 8.26,24.42 / 9.61,21.62 / 9.40,17.28 / 8.28,16.08 / 4.93,18.33 / 7.53
DARE-TIES,31.95 / 19.01,19.36 / 6.63,17.80 / 7.03,23.04 / 10.89,53.75 / 11.16,48.25 / 8.70,55.58 / 10.94,52.52 / 10.27,18.51 / 7.52,15.15 / 7.22,18.59 / 7.54,17.42 / 7.43,17.90 / 10.39,13.52 / 6.84,17.30 / 7.61,16.24 / 8.28,29.32 / 20.58,16.32 / 8.63,18.90 / 7.67,21.51 / 12.29
RegMean,33.09 / 25.73,27.17 / 17.43,30.97 / 19.68,30.41 / 20.95,60.17 / 16.28,28.45 / 14.49,45.99 / 15.32,44.87 / 15.36,24.39 / 15.91,13.54 / 11.81,12.68 / 7.91,16.87 / 11.88,26.04 / 16.75,16.39 / 12.52,11.98 / 7.07,18.14 / 12.11,26.21 / 17.86,20.93 / 15.76,20.10 / 15.47,22.41 / 16.36
Fisher,37.11 / 26.20,24.77 / 13.84,17.69 / 6.73,26.53 / 15.59,67.02 / 16.51,67.17 / 12.67,66.90 / 11.54,67.03 / 13.58,32.38 / 22.82,33.29 / 23.98,25.31 / 11.32,30.33 / 19.37,26.55 / 16.73,30.44 / 17.28,18.97 / 9.70,25.32 / 14.57,27.16 / 18.98,27.91 / 18.22,20.69 / 11.18,25.26 / 16.13
Breadcrumbs,8.53 / 3.18,14.17 / 5.35,14.60 / 6.13,12.43 / 4.89,4.95 / 1.94,29.13 / 7.30,17.21 / 5.39,17.10 / 4.88,7.66 / 1.79,6.76 / 2.68,6.85 / 2.60,7.09 / 2.36,8.02 / 2.73,9.48 / 3.68,6.03 / 1.91,7.85 / 2.77,12.25 / 3.32,12.73 / 5.09,10.21 / 5.50,11.73 / 4.64
Model Stock,24.20 / 16.77,18.23 / 8.12,19.75 / 6.48,20.73 / 10.45,62.18 / 14.60,43.11 / 10.80,57.22 / 13.08,54.17 / 12.83,12.25 / 3.93,12.74 / 6.03,11.85 / 3.01,12.28 / 4.32,27.43 / 14.71,15.79 / 7.86,20.12 / 5.99,21.11 / 9.52,17.91 / 8.10,13.21 / 5.94,15.78 / 4.44,15.63 / 6.16
Iso-C,32.78 / 23.32,27.48 / 17.39,30.23 / 15.01,30.16 / 18.57,50.49 / 15.02,44.22 / 16.17,64.16 / 14.32,52.96 / 15.17,23.31 / 12.98,16.29 / 7.96,13.83 / 6.14,17.81 / 9.03,27.36 / 14.97,21.18 / 11.80,24.53 / 8.07,24.36 / 11.61,26.15 / 15.77,16.98 / 8.93,15.54 / 5.75,19.56 / 10.15
