说明,本表对应论文 Swin-Tiny 主实验表；每个单元为 ACC/Macro-F1（百分比）。每个 K 数值对三个 Dirichlet beta 设置取平均，Avg 再对 K=3/5/7 取平均。
Method,Blood K=3 ACC/F1 (%),Blood K=5 ACC/F1 (%),Blood K=7 ACC/F1 (%),Blood Avg ACC/F1 (%),Derma K=3 ACC/F1 (%),Derma K=5 ACC/F1 (%),Derma K=7 ACC/F1 (%),Derma Avg ACC/F1 (%),Organ-C K=3 ACC/F1 (%),Organ-C K=5 ACC/F1 (%),Organ-C K=7 ACC/F1 (%),Organ-C Avg ACC/F1 (%),Organ-S K=3 ACC/F1 (%),Organ-S K=5 ACC/F1 (%),Organ-S K=7 ACC/F1 (%),Organ-S Avg ACC/F1 (%),Ultrasound K=3 ACC/F1 (%),Ultrasound K=5 ACC/F1 (%),Ultrasound K=7 ACC/F1 (%),Ultrasound Avg ACC/F1 (%)
Weight Averaging,15.65/3.37,11.86/2.72,15.24/3.44,14.25/3.18,45.69/7.94,48.30/8.59,66.88/11.45,53.62/9.33,10.68/3.45,12.94/2.45,7.87/1.53,10.50/2.48,6.82/1.45,6.04/1.51,13.81/2.31,8.89/1.76,15.27/3.42,12.94/2.89,14.65/3.23,14.29/3.18
TIES-Merging,9.72/2.20,11.90/2.61,13.84/3.00,11.82/2.60,8.41/2.19,7.80/2.01,66.88/11.45,27.70/5.22,11.61/3.92,7.02/1.40,9.34/1.92,9.32/2.41,7.34/2.39,6.06/1.10,11.08/2.28,8.16/1.92,16.95/5.90,13.03/2.98,12.61/3.51,14.20/4.13
DARE-Linear,15.65/3.37,11.61/2.94,18.25/5.30,15.17/3.87,45.69/7.94,27.71/5.24,46.30/8.10,39.90/7.09,11.55/4.05,12.72/1.99,7.76/1.39,10.68/2.48,6.40/1.29,7.20/1.92,13.81/2.79,9.14/2.00,17.43/3.83,15.36/5.44,14.97/3.39,15.92/4.22
DARE-TIES,13.84/3.00,11.62/2.55,13.84/3.00,13.10/2.85,29.61/5.70,26.38/4.88,66.88/11.45,40.96/7.34,12.76/4.00,7.74/1.30,11.16/2.82,10.55/2.71,11.94/5.42,4.34/0.79,12.30/2.82,9.53/3.01,17.91/4.84,13.57/3.14,13.03/3.02,14.83/3.66
RegMean,13.74/3.02,17.15/3.65,15.09/3.43,15.33/3.37,27.05/5.06,46.30/8.10,45.69/7.94,39.68/7.03,14.52/6.71,7.73/1.30,8.11/1.36,10.12/3.12,10.45/3.40,6.74/1.58,8.50/1.90,8.57/2.29,16.95/6.19,10.90/4.14,18.60/8.55,15.48/6.29
Fisher,15.65/3.37,17.56/3.72,15.65/3.37,16.29/3.49,65.70/11.46,6.52/1.72,42.71/8.23,38.31/7.14,8.31/3.23,9.01/1.49,10.14/3.19,9.15/2.64,6.95/1.82,8.29/2.40,12.56/4.10,9.27/2.77,17.22/6.16,13.51/3.60,16.62/4.13,15.78/4.63
Breadcrumbs,15.00/3.57,13.65/2.97,15.37/3.92,14.67/3.48,6.47/1.71,27.71/5.24,7.08/3.83,13.75/3.59,14.44/5.14,17.83/2.81,16.60/2.51,16.29/3.49,23.54/3.46,20.77/3.11,21.11/3.57,21.81/3.38,14.47/5.23,13.12/2.89,16.53/4.71,14.71/4.28
Model Stock,13.74/3.02,14.40/3.55,17.15/3.65,15.10/3.41,45.69/7.94,27.71/5.24,48.25/8.79,40.55/7.32,11.10/3.38,7.71/1.49,14.04/2.91,10.95/2.59,6.71/1.43,11.06/3.00,17.13/4.69,11.63/3.04,15.39/3.60,12.73/3.24,18.72/7.22,15.61/4.69
Iso-C,14.30/6.44,17.22/7.05,17.00/9.99,16.17/7.83,31.01/6.61,28.38/8.12,51.74/11.15,37.04/8.63,13.02/7.20,13.27/5.57,14.70/7.16,13.67/6.64,15.45/7.27,17.26/7.50,18.80/9.90,17.17/8.22,17.55/7.09,17.34/8.58,17.91/7.02,17.60/7.56
Free-Merging,11.54/2.57,8.61/2.54,18.40/6.97,12.85/4.03,45.69/7.94,48.30/8.59,66.88/11.45,53.62/9.33,9.59/2.25,13.77/3.37,8.90/2.00,10.75/2.54,6.82/1.42,4.97/0.86,10.62/1.73,7.47/1.34,15.18/3.28,15.75/5.69,15.99/5.13,15.64/4.70
RobustMerge,13.74/3.02,14.09/3.14,16.70/3.60,14.84/3.26,23.77/4.23,27.71/5.24,5.04/1.46,18.84/3.64,16.01/4.91,14.42/2.35,19.60/3.97,16.68/3.74,16.73/4.92,11.51/3.64,20.77/3.11,16.33/3.89,17.61/6.32,13.15/3.03,16.29/5.38,15.68/4.91
FROM,15.65/3.37,14.95/3.20,16.71/3.57,15.77/3.38,45.69/7.94,29.71/5.72,66.88/11.45,47.43/8.37,11.74/3.84,12.20/1.91,10.51/2.83,11.48/2.86,11.32/4.25,10.16/3.16,13.80/2.20,11.76/3.20,15.39/3.79,12.52/2.77,14.76/5.38,14.23/3.98
LAMP-Merge,77.51/75.93,77.43/75.77,77.25/75.61,77.40/75.77,63.26/28.08,63.13/28.23,63.13/27.54,63.17/27.95,68.47/65.83,68.17/65.38,68.16/65.32,68.27/65.51,62.60/58.23,62.79/58.45,62.83/58.37,62.74/58.35,47.68/45.72,48.61/46.76,48.28/46.46,48.19/46.31
