说明,本表对应论文 ViT-Tiny 主实验表；每个单元为 ACC/Macro-F1（百分比）。每个 K 数值对三个 Dirichlet beta 设置取平均，Avg 再对 K=3/5/7 取平均。
Method,Blood K=3 ACC / F1 (%),Blood K=5 ACC / F1 (%),Blood K=7 ACC / F1 (%),Blood Avg ACC / F1 (%),Derma K=3 ACC / F1 (%),Derma K=5 ACC / F1 (%),Derma K=7 ACC / F1 (%),Derma Avg ACC / F1 (%),Organ-C K=3 ACC / F1 (%),Organ-C K=5 ACC / F1 (%),Organ-C K=7 ACC / F1 (%),Organ-C Avg ACC / F1 (%),Organ-S K=3 ACC / F1 (%),Organ-S K=5 ACC / F1 (%),Organ-S K=7 ACC / F1 (%),Organ-S Avg ACC / F1 (%),Ultrasound K=3 ACC / F1 (%),Ultrasound K=5 ACC / F1 (%),Ultrasound K=7 ACC / F1 (%),Ultrasound Avg ACC / F1 (%)
Weight Averaging,13.45 / 4.05,10.82 / 2.39,11.60 / 3.15,11.96 / 3.19,46.38 / 8.14,43.69 / 11.46,36.96 / 8.44,42.34 / 9.35,16.57 / 7.59,10.43 / 3.88,9.52 / 4.01,12.18 / 5.16,8.44 / 3.70,8.52 / 2.91,17.10 / 5.24,11.35 / 3.95,14.50 / 3.58,13.24 / 3.56,18.84 / 7.56,15.52 / 4.90
TIES-Merging,7.96 / 3.42,14.21 / 5.13,12.85 / 3.43,11.67 / 3.99,47.80 / 9.19,34.98 / 8.17,46.15 / 8.46,42.98 / 8.61,13.40 / 6.55,12.24 / 4.69,9.53 / 3.40,11.72 / 4.88,11.92 / 3.97,10.02 / 2.66,15.97 / 5.94,12.64 / 4.19,20.01 / 9.29,13.06 / 4.93,10.18 / 2.58,14.42 / 5.60
DARE-Linear,23.96 / 12.03,11.31 / 3.46,13.87 / 4.27,16.38 / 6.59,28.51 / 5.74,10.02 / 3.26,12.04 / 5.72,16.86 / 4.91,15.33 / 8.12,9.46 / 2.88,7.04 / 2.83,10.61 / 4.61,7.48 / 3.58,5.49 / 1.28,16.10 / 5.28,9.69 / 3.38,13.66 / 3.89,10.51 / 2.38,14.35 / 3.21,12.84 / 3.16
DARE-TIES,7.35 / 2.90,11.89 / 2.61,11.46 / 2.81,10.23 / 2.77,27.35 / 6.66,45.02 / 9.40,35.26 / 8.36,35.88 / 8.14,12.52 / 5.80,9.03 / 4.08,10.33 / 3.58,10.63 / 4.49,5.41 / 1.64,8.74 / 2.73,5.91 / 2.50,6.69 / 2.29,14.47 / 5.16,11.17 / 3.72,10.42 / 3.00,12.02 / 3.96
RegMean,17.92 / 8.00,16.26 / 6.17,13.17 / 2.95,15.78 / 5.71,51.17 / 10.12,48.18 / 8.86,66.75 / 11.44,55.37 / 10.14,12.60 / 4.50,9.61 / 3.44,9.25 / 4.00,10.49 / 3.98,13.23 / 5.96,7.36 / 2.21,10.45 / 2.68,10.35 / 3.62,15.09 / 5.37,16.35 / 6.75,15.57 / 6.60,15.67 / 6.24
Fisher,9.43 / 2.74,14.12 / 3.09,19.65 / 7.18,14.40 / 4.34,48.53 / 8.99,24.67 / 7.27,48.16 / 9.57,40.45 / 8.61,11.95 / 5.93,9.21 / 3.80,9.17 / 3.58,10.11 / 4.44,9.20 / 4.06,13.89 / 4.07,13.07 / 5.92,12.05 / 4.68,20.84 / 9.45,12.37 / 5.22,14.17 / 3.20,15.79 / 5.96
Breadcrumbs,13.64 / 3.67,10.39 / 2.34,13.00 / 3.72,12.34 / 3.24,4.89 / 1.99,25.72 / 4.75,6.07 / 3.14,12.22 / 3.29,7.73 / 2.44,10.01 / 5.62,16.44 / 4.60,11.39 / 4.22,12.37 / 4.42,4.83 / 1.76,12.19 / 3.51,9.80 / 3.23,13.60 / 4.96,11.41 / 2.71,15.24 / 3.87,13.42 / 3.85
Model Stock,19.41 / 6.62,11.21 / 3.74,11.33 / 3.14,13.98 / 4.50,38.05 / 7.67,30.81 / 7.56,27.35 / 7.04,32.07 / 7.42,14.88 / 7.82,12.27 / 6.18,12.16 / 4.29,13.10 / 6.10,8.93 / 3.35,8.59 / 3.27,18.65 / 6.91,12.06 / 4.51,15.99 / 5.30,18.09 / 6.89,16.41 / 4.46,16.83 / 5.55
Iso-C,12.36 / 3.63,14.83 / 5.69,10.19 / 3.41,12.46 / 4.24,57.11 / 11.23,45.30 / 11.31,23.04 / 7.63,41.82 / 10.06,10.84 / 4.97,5.67 / 1.78,8.97 / 5.53,8.49 / 4.09,6.12 / 2.27,5.32 / 2.29,10.81 / 5.45,7.42 / 3.34,14.17 / 5.75,15.21 / 6.49,18.72 / 8.56,16.03 / 6.93
Free-Merging,19.89 / 7.03,14.57 / 6.11,13.92 / 5.51,16.13 / 6.22,46.30 / 8.10,47.70 / 9.56,38.59 / 9.31,44.20 / 8.99,14.25 / 5.22,9.80 / 4.05,7.58 / 3.26,10.54 / 4.18,7.27 / 2.91,9.13 / 3.42,16.43 / 4.71,10.94 / 3.68,14.05 / 3.22,15.93 / 4.71,16.47 / 6.19,15.48 / 4.71
RobustMerge,14.82 / 3.29,10.70 / 3.15,14.25 / 3.47,13.25 / 3.30,3.46 / 1.10,27.68 / 5.27,16.77 / 8.45,15.97 / 4.94,9.54 / 3.90,6.17 / 2.08,14.37 / 5.33,10.03 / 3.77,12.60 / 3.27,7.08 / 4.07,12.17 / 2.61,10.62 / 3.32,17.01 / 6.77,18.54 / 7.33,15.63 / 4.37,17.06 / 6.16
FROM,18.01 / 8.54,7.81 / 2.36,14.05 / 3.05,13.29 / 4.65,46.95 / 9.16,51.21 / 10.76,66.88 / 11.45,55.01 / 10.46,21.48 / 10.56,13.00 / 5.13,9.72 / 3.53,14.73 / 6.41,7.72 / 3.10,7.97 / 2.50,14.86 / 6.23,10.18 / 3.94,18.36 / 7.49,17.43 / 7.51,17.79 / 8.40,17.86 / 7.80
LAMP-Merge,85.30 / 83.06,85.19 / 82.96,85.15 / 82.85,85.21 / 82.95,59.47 / 36.65,59.38 / 36.61,59.80 / 36.79,59.55 / 36.68,58.73 / 57.39,58.39 / 56.93,58.28 / 56.80,58.47 / 57.04,54.36 / 52.06,54.47 / 52.22,54.60 / 52.28,54.48 / 52.18,46.09 / 42.27,46.03 / 42.23,45.88 / 42.15,46.00 / 42.22
