说明,本表记录完整 LAMP-Merge 配置下的 LPC 5x10 网格；每点覆盖五个数据集、四个 backbone、K=3/5/7 和三个 beta，ACC 使用百分比。
Source,Activation threshold tau,Calibration strength lambda,Raw cells,Client-average cells,Mean ACC (%)
Full configuration grid,1.5,3,180,60,61.8490
Full configuration grid,1.5,3.25,180,60,61.8982
Full configuration grid,1.5,3.5,180,60,61.9356
Full configuration grid,1.5,3.75,180,60,61.9456
Full configuration grid,1.5,4,180,60,61.9481
Full configuration grid,1.5,4.25,180,60,61.9580
Full configuration grid,1.5,4.5,180,60,61.9382
Full configuration grid,1.5,4.75,180,60,61.9315
Full configuration grid,1.5,5,180,60,61.8918
Full configuration grid,1.5,5.25,180,60,61.8248
Full configuration grid,2,3,180,60,61.9041
Full configuration grid,2,3.25,180,60,61.9890
Full configuration grid,2,3.5,180,60,62.0557
Full configuration grid,2,3.75,180,60,62.1055
Full configuration grid,2,4,180,60,62.1589
Full configuration grid,2,4.25,180,60,62.2065
Full configuration grid,2,4.5,180,60,62.2173
Full configuration grid,2,4.75,180,60,62.2540
Full configuration grid,2,5,180,60,62.2734
Full configuration grid,2,5.25,180,60,62.2657
Full configuration grid,2.5,3,180,60,61.9041
Full configuration grid,2.5,3.25,180,60,61.9890
Full configuration grid,2.5,3.5,180,60,62.0557
Full configuration grid,2.5,3.75,180,60,62.1055
Full configuration grid,2.5,4,180,60,62.1589
Full configuration grid,2.5,4.25,180,60,62.2065
Full configuration grid,2.5,4.5,180,60,62.2173
Full configuration grid,2.5,4.75,180,60,62.2540
Full configuration grid,2.5,5,180,60,62.2734
Full configuration grid,2.5,5.25,180,60,62.2657
Full configuration grid,3,3,180,60,61.6468
Full configuration grid,3,3.25,180,60,61.7476
Full configuration grid,3,3.5,180,60,61.8488
Full configuration grid,3,3.75,180,60,61.9230
Full configuration grid,3,4,180,60,62.0051
Full configuration grid,3,4.25,180,60,62.0765
Full configuration grid,3,4.5,180,60,62.1356
Full configuration grid,3,4.75,180,60,62.1996
Full configuration grid,3,5,180,60,62.2553
Full configuration grid,3,5.25,180,60,62.2971
Full configuration grid,3.5,3,180,60,61.6468
Full configuration grid,3.5,3.25,180,60,61.7476
Full configuration grid,3.5,3.5,180,60,61.8488
Full configuration grid,3.5,3.75,180,60,61.9230
Full configuration grid,3.5,4,180,60,62.0051
Full configuration grid,3.5,4.25,180,60,62.0765
Full configuration grid,3.5,4.5,180,60,62.1356
Full configuration grid,3.5,4.75,180,60,62.1996
Full configuration grid,3.5,5,180,60,62.2553
Full configuration grid,3.5,5.25,180,60,62.2971
